,org_state_full,previous_count
0,Alabama,535
1,Alaska,178
2,Arizona,900
3,Arkansas,139
4,California,4530
5,Colorado,1124
6,Connecticut,473
7,Delaware,223
8,District of Columbia,554
9,Florida,1326
10,Georgia,1062
11,Hawaii,213
12,Idaho,177
13,Illinois,1598
14,Indiana,995
15,Iowa,366
16,Kansas,271
17,Kentucky,242
18,Louisiana,389
19,Maine,145
20,Maryland,862
21,Massachusetts,2390
22,Michigan,1378
23,Minnesota,598
24,Mississippi,208
25,Missouri,530
26,Montana,185
27,Nebraska,258
28,Nevada,218
29,New Hampshire,198
30,New Jersey,1002
31,New Mexico,301
32,New York,2876
33,North Carolina,1297
34,North Dakota,91
35,Ohio,926
36,Oklahoma,271
37,Oregon,584
38,Pennsylvania,1879
39,Rhode Island,370
40,South Carolina,399
41,South Dakota,89
42,Tennessee,576
43,Texas,2477
44,Utah,448
45,Vermont,88
46,Virginia,1209
47,Washington,853
48,West Virginia,139
49,Wisconsin,639
50,Wyoming,88
